charity_number,name,activities,address,postcode,phone,email,website,income
200376,"SISTERS OF MERCY, GRAVESEND, KENT",The charity's principal activities are:- Education through the support of St Josephs school- Healthcare through the support of the congregational members in their old age- Social and pastoral through community based programmes and local parish work,"Hedley Dunk Ltd, Trinity House, 3 Bullace Lane, Dartford",DA1 1BB,01322221157,,,494409
201654,FRIENDS OF ANIMALS LEAGUE,Animal Sanctuary and Rehoming Centre,"FRIENDS OF ANIMALS LEAGUE, FOAL FARM, JAIL LANE, BIGGIN HILL, WESTERHAM",TN16 3AX,01959572386,info@foalfarm.org.uk,https://www.foalfarm.org.uk,1319405
201659,THE EAST KENT ORTHOPAEDIC RESEARCH FUND,"Funding of clinical research projects by the members of the East Kent Dept o f Orthopaedic Surgery, and of a competitive Travelling Bursary for trainees in this department","QUEEN ELIZABETH THE QUEEN MOTHERS, HOSPITAL, ST. PETERS ROAD, MARGATE, KENT",CT9 4AN,01843225544,behrooz.mostofi@nhs.net,,0
204018,THE ALDERSHOT CHURCH OF ENGLAND SERVICES TRUST,For the purpose of furthering the religious and other charitable work of the Church of England amongst members and former members of the Armed Forces of the Crown.,"12 New Odiham Road, ALTON",GU34 1QD,0142083473,acest.org@gmail.com,https://www.acest.org.uk,62035
205769,MICHAEL YOAKLEY'S CHARITY,Sheltered Housing and Residential Care for the Elderly,"YOAKLEY HOUSE, DRAPERS CLOSE, MARGATE",CT9 4AH,01843223652,admin@yoakleycare.co.uk,https://www.yoakleycare.co.uk,1971107
205894,THE SANDWICH UNITED CHARITY,"The charity provides and maintains almshouses and a chapel, within a conservation area, in the town of Sandwich. The almshouses are allocated to needy and predominantly elderly people residing in Sandwich or the adjoining parishes of Worth, Eastry, Woodnesborough and Ash. The chapel is used as a place of worship for residents and the local community.","SANDWICH UNITED CHARITY, 19/21 CATTLE MARKET, SANDWICH, KENT",CT13 9AP,01304611717,sandwichunitedcharity@outlook.com,,198642
205902,MINSTER-IN-SHEPPEY FRIENDSHIP HOUSE TRUST,"Provision of buildings, facilities, for elderly and disabled, and general charitable purposes.","38 New Road, Minster On Sea, SHEERNESS, Kent",ME12 3PU,01795873709,,,15727
205992,"THE LEAGUE OF FRIENDS OF THE QUEEN VICTORIA MEMORIAL HOSPITAL, HERNE BAY","The objectives and activities of the League of Friends are to encourage and maintain the interest of the public in the patients and to support the work of the Queen Victoria Memorial Hospital, Herne Bay.","69 MICKLEBURGH AVENUE, HERNE BAY",CT6 6HB,01227372935,ray.sidders@gmail.com,,252461
206150,RIFGINS CHARITY,"THE charity was founded in 1611. Its principle activity is to apply its income in relieving either gererally or individually persons resident in Boughton Monchelsea who are in conditions of need, hardship or distress by making grants of money or providing or paying for items, services or facilities calculated to reduce the need, hardship or distress of such persons.","IDEN FARM COTTAGE, HEATH ROAD, BOUGHTON MONCHELSEA, MAIDSTONE",ME17 4JE,01622741572,ian.ellis11@gmail.com,,11055
206182,RESTHAVEN ALMSHOUSES,Provision of housing,"2 Chequer Lane, Ash, Canterbury",CT3 2ET,07876597988,ashcentral1@gmail.com,,36929
