id,title,slug,url,organisation,organisation_url,email,phone,website,address,postcode,price,categories,description,excerpt,date,modified
,21 Together Regional Hubs,21-together-regional-hubs,https://involvekent.org.uk/directory/21-together-regional-hubs/,21 Together Telephone 01622 230720,https://involvekent.org.uk/directory_entry_organisation/21-together/,info@21together.org.uk,01622 230720,https://21together.org.uk/regional-hub,"All around Kent What we do We know the vital support that can come from a local friend who you can just catch up with for a coffee and be on call in an emergency to help support you. That’s why we have split Kent and Medway into 5 Regional Hubs, each hub will be supported by volunteers from that area and provide a mixture of organised social gatherings, formal advisory support sessions, and access to a regional WhatsApp group of other parents and carers of children and young people with Down’s syndrome in the area. For more information and to join a hub visit our website here",,Often free or highly subsidised events Organisation 21 Together Telephone 01622 230720 Email info@21together.org.uk Organisation 21 Together,Groups and Community Activities; Parent and family activities; Parent and family support; Peer and support groups; Support Services and Self-help,"We know the vital support that can come from a local friend who you can just catch up with for a coffee and be on call in an emergency to help support you. That’s why we have split Kent and Medway into 5 Regional Hubs, each hub will be supported by volunteers from that area and provide a mixture of organised social gatherings, formal advisory support sessions, and access to a regional WhatsApp group of other parents and carers of children and young people with Down’s syndrome in the area. For more information and to join a hub visit our website here We know the vital support that can come from a local friend who you can just catch up with for a coffee and be on call in an emergency to help support you. That’s why we have split Kent and Medway into 5 Regional Hubs, each hub will be supported by volunteers from that area and provide a mixture of organised social gatherings, formal advisory support sessions, and access to a regional WhatsApp group of other parents and carers of children and young people with Down’s syndrome in the area. For more information and to join a hub visit our website here visit our website here Price Often free or highly subsidised events",,,
,24/7 Older Person’s Abuse Helpline,24-7-older-persons-abuse-helpline,https://involvekent.org.uk/directory/24-7-older-persons-abuse-helpline/,Hourglass Telephone 0808 808 8141,https://involvekent.org.uk/directory_entry_organisation/hourglass/,helpline@wearehourglass.org,0808 808 8141,,"Virtual What we do The Hourglass helpline is the only service in the UK dedicated to helping those effected by the abuse of older people. Whether that’s an older person who feels threatened or unsafe at home, or a friend of family member concerned about the wellbeing of a loved one, our helpline services team are there to support and offer advice.",,Free Organisation Hourglass Telephone 0808 808 8141 Email helpline@wearehourglass.org Organisation Hourglass,Abuse; Helplines; Support Services and Self-help,"The Hourglass helpline is the only service in the UK dedicated to helping those effected by the abuse of older people. Whether that’s an older person who feels threatened or unsafe at home, or a friend of family member concerned about the wellbeing of a loved one, our helpline services team are there to support and offer advice. Price Free",,,
,6-12 Months Mentoring for Women Affected by Domestic Abuse,6-12-months-mentoring-for-women-affected-by-domestic-abuse,https://involvekent.org.uk/directory/6-12-months-mentoring-for-women-affected-by-domestic-abuse/,Unleash Yourself with Gladness CIC Telephone 01622 943929,https://involvekent.org.uk/directory_entry_organisation/unleash-yourself-with-gladness-cic/,,01622 943929,,"Empowering Women Hub, The Mall, Adjacent Chequers Bus Lane ME15 6AT What we do A safe, supportive mentoring programme designed to help women rebuild confidence, rediscover their voice, and regain direction in life after experiencing abuse. The programme is overseen by a qualified Mental Health Specialist with recognised mentoring credentials, ensuring that support is both compassionate and professionally informed. All mentors receive structured in-house training and are DBS certified to maintain safeguarding and trust. Mentees are carefully matched with mentors based on shared values, personal needs, and goals, creating a supportive relationship that encourages healing, growth, and the rebuilding of self-belief.",ME15 6AT,Free Organisation Unleash Yourself with Gladness CIC Telephone 01622 943929 Organisation Unleash Yourself with Gladness CIC,"Abuse; Advocacy and Information, advice and guidance; Support Services and Self-help","A safe, supportive mentoring programme designed to help women rebuild confidence, rediscover their voice, and regain direction in life after experiencing abuse. The programme is overseen by a qualified Mental Health Specialist with recognised mentoring credentials, ensuring that support is both compassionate and professionally informed. All mentors receive structured in-house training and are DBS certified to maintain safeguarding and trust. Mentees are carefully matched with mentors based on shared values, personal needs, and goals, creating a supportive relationship that encourages healing, growth, and the rebuilding of self-belief. Price Free",,,
,6 and 12 Week Football Programmes,6-and-12-week-football-programmes,https://involvekent.org.uk/directory/6-and-12-week-football-programmes/,Head In The Game Telephone 07507 268045,https://involvekent.org.uk/directory_entry_organisation/head-in-the-game/,info@headinthegame.co.uk,07507 268045,https://headinthegame.co.uk/upcoming-sessions/,"Kent Wide What we do Our 6 and 12-week programs are typically funded and supported by local councils, organisations, or community projects. We facilitate mental health-focused sports training sessions with a unique approach each week, all aimed at alleviating life pressures on mental health and addressing the stigma around open and honest conversations. Supported by experienced sports and talking therapy coaches, each session focuses on a different mental health topic each week, while still providing mental health and wellbeing support in a secure and trusted environment. Taking place in Gravesend, New Ash Green, Tonbridge, Swanley, Dover, Tunbridge Wells, Herne Bay FC, Charlton Athletic, Dartford FC and Chelsea FC. To find our more or to register your place please visit https://headinthegame.co.uk/upcoming-sessions/",,Free Organisation Head In The Game Telephone 07507 268045 Email info@headinthegame.co.uk Organisation Head In The Game,"Health; Skills, education and training; Sport and fitness; Support Services and Self-help","Our 6 and 12-week programs are typically funded and supported by local councils, organisations, or community projects. We facilitate mental health-focused sports training sessions with a unique approach each week, all aimed at alleviating life pressures on mental health and addressing the stigma around open and honest conversations. Supported by experienced sports and talking therapy coaches, each session focuses on a different mental health topic each week, while still providing mental health and wellbeing support in a secure and trusted environment. Taking place in Gravesend, New Ash Green, Tonbridge, Swanley, Dover, Tunbridge Wells, Herne Bay FC, Charlton Athletic, Dartford FC and Chelsea FC. To find our more or to register your place please visit https://headinthegame.co.uk/upcoming-sessions/ Our 6 and 12-week programs are typically funded and supported by local councils, organisations, or community projects. We facilitate mental health-focused sports training sessions with a unique approach each week, all aimed at alleviating life pressures on mental health and addressing the stigma around open and honest conversations. Supported by experienced sports and talking therapy coaches, each session focuses on a different mental health topic each week, while still providing mental health and wellbeing support in a secure and trusted environment. Taking place in Gravesend, New Ash Green, Tonbridge, Swanley, Dover, Tunbridge Wells, Herne Bay FC, Charlton Athletic, Dartford FC and Chelsea FC. To find our more or to register your place please visit https://headinthegame.co.uk/upcoming-sessions/ https://headinthegame.co.uk/upcoming-sessions/ Price Free",,,
,A listening ear for all SEND needs,a-listening-ear-for-all-send-needs,https://involvekent.org.uk/directory/a-listening-ear-for-all-send-needs/,Medway Parents & Carers Forum Telephone 07813123984,https://involvekent.org.uk/directory_entry_organisation/medway-parents-carers-forum/,mpcf2@medwaypcf.org.uk,07813123984,https://medwaypcf.org.uk/about/,"C/O Snapdragons childrens centre, Cliffe Road, Rochester, Kent, ME2 3FF What we do We are an independent, pan disability, parent led charity who work with (not for) the local authority, health and local services to improve services for children and young people with special educational needs and/or disabilities (SEND) and their families. To ensure all our children have the best chance in life and receive support and services needed to reach their full potential, we work alongside Medway Council and Kent and Medway Integrated Care Board. We attend meetings, run training sessions and workshops to make sure parent carers’ voices and children’s needs are being heard, helping plan and develop the quality, range, and accessibility of services, creating better outcomes for families through participation and co-production. This service is available for people living in Medway. You can find more information on our website here: https://medwaypcf.org.uk/about/",ME2 3FF,Free Organisation Medway Parents & Carers Forum Telephone 07813123984 Email mpcf2@medwaypcf.org.uk Organisation Medway Parents & Carers Forum,Counselling; Parent and family support; Support Services and Self-help,"We are an independent, pan disability, parent led charity who work with (not for) the local authority, health and local services to improve services for children and young people with special educational needs and/or disabilities (SEND) and their families. To ensure all our children have the best chance in life and receive support and services needed to reach their full potential, we work alongside Medway Council and Kent and Medway Integrated Care Board. We attend meetings, run training sessions and workshops to make sure parent carers’ voices and children’s needs are being heard, helping plan and develop the quality, range, and accessibility of services, creating better outcomes for families through participation and co-production. This service is available for people living in Medway. You can find more information on our website here: https://medwaypcf.org.uk/about/ We are an independent, pan disability, parent led charity who work with (not for) the local authority, health and local services to improve services for children and young people with special educational needs and/or disabilities (SEND) and their families. To ensure all our children have the best chance in life and receive support and services needed to reach their full potential, we work alongside Medway Council and Kent and Medway Integrated Care Board. We attend meetings, run training sessions and workshops to make sure parent carers’ voices and children’s needs are being heard, helping plan and develop the quality, range, and accessibility of services, creating better outcomes for families through participation and co-production. This service is available for people living in Medway. You can find more information on our website here: https://medwaypcf.org.uk/about/ https://medwaypcf.org.uk/about/ Price Free",,,
,A Touch of Gentleness,a-touch-of-gentleness,https://involvekent.org.uk/directory/a-touch-of-gentleness/,A Touch of Gentleness Email info@atouchofgentleness.org,https://involvekent.org.uk/directory_entry_organisation/a-touch-of-gentleness/,info@atouchofgentleness.org,,https://www.atouchofgentleness.org/our-mission,"Many different locations throughout East Sussex and further. What we do Bringing connection, joy and peace back to the heart of society through a touch of gentleness. Offering 20 minutes therapeutic hand massages whilst listening with full presence and gentleness. We also run free training days for people who wish to volunteer with us. A Touch of  Gentleness  is a growing community of volunteers who are committed to bringing joy, connection, and peace back to  the heart of society. Volunteers are trained to give a beautiful hand massage whilst listening with deep gentleness. This service is then offered to the local community, organisations and charities. Through this service we are shaping a more compassionate, cohesive culture grounded in generosity, gentleness and human connection. To understand more about our mission , our vision and how gentleness , touch and a listening ear can reshape society, please click the links. Please visit our website to find out more. You can also find out about our public events on our website here.",,Free Organisation A Touch of Gentleness Email info@atouchofgentleness.org Organisation A Touch of Gentleness,Health; Wellbeing,"Bringing connection, joy and peace back to the heart of society through a touch of gentleness. Offering 20 minutes therapeutic hand massages whilst listening with full presence and gentleness. We also run free training days for people who wish to volunteer with us. A Touch of  Gentleness  is a growing community of volunteers who are committed to bringing joy, connection, and peace back to  the heart of society. Volunteers are trained to give a beautiful hand massage whilst listening with deep gentleness. This service is then offered to the local community, organisations and charities. Through this service we are shaping a more compassionate, cohesive culture grounded in generosity, gentleness and human connection. To understand more about our mission , our vision and how gentleness , touch and a listening ear can reshape society, please click the links. Please visit our website to find out more. You can also find out about our public events on our website here. Bringing connection, joy and peace back to the heart of society through a touch of gentleness. Offering 20 minutes therapeutic hand massages whilst listening with full presence and gentleness. We also run free training days for people who wish to volunteer with us. A Touch of  Gentleness  is a growing community of volunteers who are committed to bringing joy, connection, and peace back to  the heart of society. Volunteers are trained to give a beautiful hand massage whilst listening with deep gentleness. This service is then offered to the local community, organisations and charities. Through this service we are shaping a more compassionate, cohesive culture grounded in generosity, gentleness and human connection. To understand more about our mission , our vision and how gentleness , touch and a listening ear can reshape society, please click the links. A Touch of  Gentleness  is a growing community of volunteers who are committed to bringing joy, connection, and peace back to  the heart of society. Volunteers are trained to give a beautiful hand massage whilst listening with deep gentleness. This service is then offered to the local community, organisations and charities. Through this service we are shaping a more compassionate, cohesive culture grounded in generosity, gentleness and human connection. To understand more about our mission , our vision and how gentleness , touch and a listening ear can reshape society, please click the links. about our mission our vision gentleness touch listening ear Please visit our website to find out more. You can also find out about our public events on our website here. on our website here. Price Free",,,
,AA Helpline,aa-helpline,https://involvekent.org.uk/directory/aa-helpline/,Alcoholics Anonymous Telephone 0800 9177 650,https://involvekent.org.uk/directory_entry_organisation/alcoholics-anonymous/,help@aamail.org,0800 9177 650,https://www.alcoholics-anonymous.org.uk/,https://www.alcoholics-anonymous.org.uk/ What we do If you need help with a drinking problem either phone our national helpline FREE on 0800 9177 650. Contact us by email: help@aamail.org or Talk to us using the live chat box on our website: https://www.alcoholics-anonymous.org.uk/,,Free Organisation Alcoholics Anonymous Telephone 0800 9177 650 Email help@aamail.org Organisation Alcoholics Anonymous,Health; Helplines; Specific health conditions; Support Services and Self-help,If you need help with a drinking problem either phone our national helpline FREE on 0800 9177 650. Contact us by email: help@aamail.org or Talk to us using the live chat box on our website: https://www.alcoholics-anonymous.org.uk/ If you need help with a drinking problem either phone our national helpline FREE on 0800 9177 650. Contact us by email: help@aamail.org or Talk to us using the live chat box on our website: https://www.alcoholics-anonymous.org.uk/ https://www.alcoholics-anonymous.org.uk/ Price Free,,,
,Access to Work,access-to-work-3,https://involvekent.org.uk/directory/access-to-work-3/,Tonbridge JobCentre Plus Telephone 0800 169 0190,https://involvekent.org.uk/directory_entry_organisation/tonbridge-jobcentre-plus/,tonbridge.chat@dwp.gov.uk,0800 169 0190,,"Tonbridge Jobcentre Plus, Crown Building, Bradford Street, Tonbridge, TN9 1DU What we do Access to Work is something that someone who is about to enter work can apply for if they need extra help or support in order to start work. Support is available if they have a health condition or disability that will impact on the ability to do their job. Someone who is claiming either JSA, IS, or UC only need to be starting work of at least 1 hour per week and if you are claiming ESA you need to be starting approved Permitted Work or work over 16 hours per week. You will have to be at least 16 years of age to qualify and you have to be living with the UK (The Channel islands and the Isle of Man are excluded from this) (To access this provision you will need to be in receipt of either Jobseekers Allowance (JSA), Employment Support Allowance (ESA), Income Support (IS), or Universal Credit (UC) and attend an appointment with your local JobCentre Plus to check your eligibility.)",TN9 1DU,Free Organisation Tonbridge JobCentre Plus Telephone 0800 169 0190 Email tonbridge.chat@dwp.gov.uk Organisation Tonbridge JobCentre Plus,"Employment; Skills, education and training; Support Services and Self-help","Access to Work is something that someone who is about to enter work can apply for if they need extra help or support in order to start work. Support is available if they have a health condition or disability that will impact on the ability to do their job. Someone who is claiming either JSA, IS, or UC only need to be starting work of at least 1 hour per week and if you are claiming ESA you need to be starting approved Permitted Work or work over 16 hours per week. You will have to be at least 16 years of age to qualify and you have to be living with the UK (The Channel islands and the Isle of Man are excluded from this) (To access this provision you will need to be in receipt of either Jobseekers Allowance (JSA), Employment Support Allowance (ESA), Income Support (IS), or Universal Credit (UC) and attend an appointment with your local JobCentre Plus to check your eligibility.) Price Free",,,
,Access to Work,access-to-work,https://involvekent.org.uk/directory/access-to-work/,Maidstone JobCentre Plus Telephone 0800 169 0190,https://involvekent.org.uk/directory_entry_organisation/maidstone-jobcentre-plus/,MAIDSTONE.CUSTOMERENQUIRIES@DWP.GSI.GOV.UK,0800 169 0190,,"Maidstone Jobcentre, Maidstone Link, King Street, Maidstone, ME14 1FW What we do Access to Work is something that someone who is about to enter work can apply for if they need extra help or support in order to start work. Support is available if they have a health condition or disability that will impact on the ability to do their job. Someone who is claiming either JSA, IS, or UC only need to be starting work of at least 1 hour per week and if you are claiming ESA you need to be starting approved Permitted Work or work over 16 hours per week. You will have to be at least 16 years of age to qualify and you have to be living with the UK (The Channel islands and the Isle of Man are excluded from this) (To access this provision you will need to be in receipt of either Jobseekers Allowance (JSA), Employment Support Allowance (ESA), Income Support (IS), or Universal Credit (UC) and attend an appointment with your local JobCentre Plus to check your eligibility.)",ME14 1FW,Free Organisation Maidstone JobCentre Plus Telephone 0800 169 0190 Email MAIDSTONE.CUSTOMERENQUIRIES@DWP.GSI.GOV.UK Organisation Maidstone JobCentre Plus,"Employment; Skills, education and training; Support Services and Self-help","Access to Work is something that someone who is about to enter work can apply for if they need extra help or support in order to start work. Support is available if they have a health condition or disability that will impact on the ability to do their job. Someone who is claiming either JSA, IS, or UC only need to be starting work of at least 1 hour per week and if you are claiming ESA you need to be starting approved Permitted Work or work over 16 hours per week. You will have to be at least 16 years of age to qualify and you have to be living with the UK (The Channel islands and the Isle of Man are excluded from this) (To access this provision you will need to be in receipt of either Jobseekers Allowance (JSA), Employment Support Allowance (ESA), Income Support (IS), or Universal Credit (UC) and attend an appointment with your local JobCentre Plus to check your eligibility.) Price Free",,,
,AccessAble,accessable,https://involvekent.org.uk/directory/accessable/,AccessAble Telephone 01438 842710,https://involvekent.org.uk/directory_entry_organisation/accessable/,hello@accessable.co.uk,01438 842710,https://www.accessable.co.uk/tunbridge-wells-borough-council,"High Street, 18-20, Stevenage, Hertfordshire, SG1 3EJ What we do AccessAble gives disabled people, carers, and anyone who needs to know about accessibility the detailed information they need to work out if a place is going to be accessible to them. AccessAble’s Detailed Access Guides tell you all about a venue’s access - hotels and guest houses, places to eat and drink, places to visit and much more. They are 100% facts, figures and photographs. We know everyone’s accessibility needs are different, which is why having detailed, accurate information is so important. It’s why AccessAble send trained surveyors to check out every single place in person and why the information collected has all been decided by the people who use it. We have worked with Tunbridge Wells Borough Council since 2009 and we have over 80 Detailed Access Guides for the area, including Scotney Castle Garden and the Spa Valley Railway. You can view the Accessibility Guide to Tunbridge Wells here and a Detailed Access Guides to various Council buildings due to our partnership with Kent County Council here. Through our partnership with Visit Kent, we provide Detailed Access Guides to various tourist attractions across the county, such as The Historic Dockyard Chatham, Port Lympne, and Hever Castle just to name a few. Check out the Guides here .",SG1 3EJ,Free Organisation AccessAble Telephone 01438 842710 Email hello@accessable.co.uk Organisation AccessAble,Independent living and help at home; Support Services and Self-help,"AccessAble gives disabled people, carers, and anyone who needs to know about accessibility the detailed information they need to work out if a place is going to be accessible to them. AccessAble’s Detailed Access Guides tell you all about a venue’s access - hotels and guest houses, places to eat and drink, places to visit and much more. They are 100% facts, figures and photographs. We know everyone’s accessibility needs are different, which is why having detailed, accurate information is so important. It’s why AccessAble send trained surveyors to check out every single place in person and why the information collected has all been decided by the people who use it. We have worked with Tunbridge Wells Borough Council since 2009 and we have over 80 Detailed Access Guides for the area, including Scotney Castle Garden and the Spa Valley Railway. You can view the Accessibility Guide to Tunbridge Wells here and a Detailed Access Guides to various Council buildings due to our partnership with Kent County Council here. Through our partnership with Visit Kent, we provide Detailed Access Guides to various tourist attractions across the county, such as The Historic Dockyard Chatham, Port Lympne, and Hever Castle just to name a few. Check out the Guides here . AccessAble gives disabled people, carers, and anyone who needs to know about accessibility the detailed information they need to work out if a place is going to be accessible to them. AccessAble’s Detailed Access Guides tell you all about a venue’s access - hotels and guest houses, places to eat and drink, places to visit and much more. They are 100% facts, figures and photographs. We know everyone’s accessibility needs are different, which is why having detailed, accurate information is so important. It’s why AccessAble send trained surveyors to check out every single place in person and why the information collected has all been decided by the people who use it. We have worked with Tunbridge Wells Borough Council since 2009 and we have over 80 Detailed Access Guides for the area, including Scotney Castle Garden and the Spa Valley Railway. You can view the Accessibility Guide to Tunbridge Wells here and a Detailed Access Guides to various Council buildings due to our partnership with Kent County Council here. Accessibility Guide to Tunbridge Wells here Detailed Access Guides to various Council buildings due to our partnership with Kent County Council here. Through our partnership with Visit Kent, we provide Detailed Access Guides to various tourist attractions across the county, such as The Historic Dockyard Chatham, Port Lympne, and Hever Castle just to name a few. Check out the Guides here . Check out the Guides here Price Free",,,
